Unnamed: 0,filename,len_in_sec,sr,num_hops,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS
4893,/data/datasets/LRS3/trainval/vzKA1y3cdYI/50024.wav,1.28,16000,1,3.5278635,3.92885,4.0545444,3.1391130196571804,3.5055469803557275,3.963797320627685,2.9969893
21756,/data/datasets/LRS3/trainval/VC3H1lMEeS4/50016.wav,5.056,16000,1,3.1627839,4.324183,2.8569627,2.8971540979688943,3.714207485925942,3.126538281864568,3.3868566
15380,/data/datasets/LRS3/trainval/IHyR7p6Shn0/50053.wav,6.08,16000,3,3.3150692,4.0501957,3.2871265,2.9991277772824905,3.5723325592933857,3.467176942439148,3.7799253
22761,/data/datasets/LRS3/trainval/buHSvs7LFzw/50003.wav,2.56,16000,1,2.6479294,3.4475803,2.8675869,2.5252771238577267,3.2161017352242105,3.135626304601552,3.3719127
3436,/data/datasets/LRS3/trainval/mlrB6npbwVQ/50006.wav,1.408,16000,2,2.6498365,3.8745098,2.5471897,2.5262618895454487,3.474813782419747,2.846213954766434,2.6967015
24198,/data/datasets/LRS3/trainval/Qm172DbaSbc/50016.wav,2.368,16000,1,2.227552,3.1070294,3.0139353,2.195038733064836,2.987785948656039,3.257789480891216,3.2819233
23874,/data/datasets/LRS3/trainval/vQILP19qABk/50007.wav,2.688,16000,1,2.9450622,3.7709749,3.0368323,2.744271980937293,3.414885042324986,3.276392320711661,3.485752
17840,/data/datasets/LRS3/trainval/lVQ3KUTHDe0/50009.wav,1.28,16000,1,3.1177154,3.8048015,3.2127395,2.866033921669473,3.434662790657733,3.4147047623551257,2.8522632
14703,/data/datasets/LRS3/trainval/796LfXwzIUk/50020.wav,2.496,16000,1,3.083379,3.614235,3.5713675,2.8421399201490725,3.3207340294406387,3.6714463476323314,3.3385909
22510,/data/datasets/LRS3/trainval/GXySSkBVq1M/50016.wav,1.216,16000,1,2.9577081,3.9726272,3.081187,2.753327329629201,3.5299453657902,3.312035845111926,3.238032
27118,/data/datasets/LRS3/trainval/5K57kcs15DY/50018.wav,6.08,16000,3,3.520153,3.9913962,3.7975452,3.133597794441586,3.5402780175929585,3.813164496886819,3.6830769
29521,/data/datasets/LRS3/trainval/MLyguFQR5N4/50013.wav,5.056,16000,1,3.2396967,4.0198784,3.2727313,2.949628273603241,3.5559187316753373,3.460011825181324,3.1125748
27450,/data/datasets/LRS3/trainval/ezVk1ahRF78/50001.wav,1.28,16000,1,1.9810154,3.1689677,2.1394289,1.9902405967013004,3.0307603789864483,2.4439584964868324,3.051984
